Year,Month,med_sss,med_sst,med_sla,med_uwind,med_vwind,med_ucurr,med_vcurr,med_evap,med_ppt,med_runoff
2011,1,34.364923554705506,3.263524931826435,0.02692855029585799,7.520967475761323,-1.8355723522471252,0.18005383290218177,0.005375492417173647,-7.814782729391568e-09,3.680701112632241e-08,0.0
2011,2,34.041436909214326,3.6640452477725343,0.03205059171597633,5.860001841240381,-3.467464087982855,0.19240145990349486,-0.021046584043252287,-4.844346930524536e-09,2.7530474958518032e-08,0.0
2011,3,33.958405642021354,3.267152055242213,0.00916878698224852,6.210937942273518,-0.6652030759661861,0.18263839774099647,0.0034272554601761703,-1.2265213428637894e-08,3.7458508311983735e-08,0.0
2011,4,33.72411985212238,2.8477400744151087,0.009347928994082839,7.884677965965497,-1.71957411162952,0.1883543937483571,0.017199846120108987,-1.0418147471193131e-08,3.417385217523251e-08,0.0
2011,5,34.08338185814356,2.424065607203671,0.048126479289940835,6.870991570709725,-1.700216859050051,0.17895911328119815,0.013782388640542861,-6.760900818528299e-09,3.115312587580032e-08,0.0
2011,6,34.113005473162524,2.147921056526711,0.03646479289940829,5.941954360205746,-0.3163183580790564,0.1715604603371842,0.0073603943993265815,-1.278777382067753e-08,2.621285047495598e-08,0.0
2011,7,34.210923013870946,1.5833698825321922,0.04953062130177515,9.825649721382637,-1.719270344669297,0.19021985629578975,0.0335180422466127,-9.342941120609808e-09,3.7130310481612996e-08,0.0
2011,8,34.02446971365161,1.3489024321516465,0.042692899408284024,6.897351906849788,-3.9545592154271505,0.19504719776564317,-0.009069283436894273,-8.828236402851067e-09,5.3910787968214424e-08,0.0
2011,9,33.83491369621962,1.507376199049133,0.03278639053254438,5.96921891291466,1.3213929569227456,0.15787869649002406,-0.006272881145082061,-2.4233190450958588e-08,3.427913673295542e-08,0.0
2011,10,33.652559920366144,1.0676140246195014,0.041156952662721895,5.933342465282192,0.09650956768785003,0.16494941277175965,-0.007115319835334829,-1.323739617390249e-08,2.689053817404589e-08,0.0
2011,11,33.54686666981207,1.5047514456561242,0.040738609467455625,8.937217280709532,0.12652130828124675,0.1721007095797252,0.03237683253608005,-1.3300640079507749e-08,3.768442598268073e-08,0.0
2011,12,33.74609780677096,2.4393533526149698,0.06013579881656805,7.478625332110027,-2.7419829033535614,0.1842535118404109,0.018579152131662568,-6.28234557121659e-09,2.9440227109769862e-08,0.0
2012,1,33.80042334469862,2.882092892251323,0.06049718934911241,7.906592015684003,-3.142342926129787,0.1922467820375287,0.020064596470084437,-1.0427170615368132e-08,3.6550853536130566e-08,0.0
2012,2,33.812139309085964,3.161977076845217,0.06370798816568049,6.224462625543041,-0.5134838637096818,0.15387789180609757,0.00013114320880253992,-1.1612465090799848e-08,3.187104638354861e-08,0.0
2012,3,33.85275955185924,2.923271551380535,0.014647189349112426,7.406801658269217,-1.7116939254413694,0.16605432794467936,-0.009300820402282334,-9.823660371339742e-09,4.204354630001486e-08,0.0
