Year,Month,high_sss,high_sst,high_sla,high_uwind,high_vwind,high_ucurr,high_vcurr,high_evap,high_ppt,high_runoff
2011,1,30.03530556770714,27.9105848290034,-457452138.048092,-4.237492597314733,-3.029209615739845,0.08435126356780528,-0.27314548060297966,-4.41242067570713e-08,1.8112118140192843e-07,1.059572816339209e-08
2011,2,26.168378586443573,27.890134163694825,-457452137.9883856,-3.8733224304470086,-3.086193511648291,0.1433661812916398,-0.1990127458619619,-4.214463449741909e-08,2.0777868278816083e-07,1.583213271108239e-08
2011,3,24.230626594821025,28.1824652509661,-457452137.963748,-3.7078861789061475,-2.9407039868408407,0.13116379795690714,-0.23693015291434477,-4.321061130453888e-08,1.8367015189464067e-07,1.89501753821071e-08
2011,4,19.774981461697344,28.04910834741253,-457452137.9274208,-3.123190319837903,-3.0458586293564744,0.39417578508456547,-0.2609207013032089,-3.696151438805779e-08,1.9814018196843314e-07,1.8692711531893874e-08
2011,5,22.25249240451404,28.69004510934785,-457452137.9536327,-3.657216889353899,-0.8222118784954562,0.1179015744040953,-0.6513685779296793,-4.020986032314842e-08,2.1645133494808306e-07,1.1191186794136375e-08
2011,6,29.556928283393507,28.629811058791795,-457452137.98947144,-4.473172262575499,-0.5130426271807557,-0.1882399658457591,0.09336880035698414,-4.7674223494071223e-08,6.84032204013735e-08,1.9663132101774162e-09
2011,7,30.152118552730656,28.66447206401375,-457452138.00414115,-4.754054580743496,-0.34171719341773055,0.06781130904952686,0.05782974869404258,-5.133391045476427e-08,5.560330907791141e-08,1.3846356226586472e-09
2011,8,32.21692472739739,28.775061391566698,-457452138.0013406,-5.43489289336656,-0.9624941508180996,0.06340941228263546,0.20205959575250745,-5.620313602585999e-08,1.8341980716154393e-08,1.7543072087080783e-10
2011,9,33.461282069755335,28.32889039244097,-457452137.9828012,-5.600188033291574,-1.4873205277870392,0.01632680582406465,0.31233945913845673,-5.263291614070133e-08,8.231789402707795e-09,2.821521646172338e-11
2011,10,32.85065771278734,28.499052557785603,-457452137.98743325,-4.875463716200823,-1.5397516446816322,-0.07273962220975332,-0.08395177304212537,-5.2028599944444916e-08,1.8467904182215047e-08,1.528324225010016e-10
2011,11,33.251426468793795,28.58215080344682,-457452138.055291,-5.349662057041416,-1.5595922716094193,-0.16004174565508342,0.4275116529574411,-5.237686978671443e-08,1.538473865376108e-08,6.923178113293235e-11
2011,12,35.078993888789604,28.24721400882406,-457452138.0167349,-5.67330278764815,-2.6510922679534326,-0.10904950083459954,0.368968534361999,-5.020331408695422e-08,1.8759069540979778e-08,2.1422664350567744e-11
2012,1,31.803061949591033,27.88185809267279,-457452138.0275189,-5.037334310937915,-3.1115739440776893,0.1452562486763293,0.353406565124864,-4.590186183288802e-08,9.986344800819934e-08,1.957757207037403e-09
2012,2,27.87748587617448,27.83617560460343,-457452138.0188113,-4.581116367197601,-3.2216076785643426,-0.2480534466960263,0.08072273730777385,-4.6669071460228045e-08,1.4128874144009688e-07,6.717507472927571e-09
2012,3,22.566417490539063,27.64487763891264,-457452137.9690759,-4.2288184181825645,-3.8432028245996444,0.5198943357638739,-0.6101839785998756,-4.6325692439171385e-08,1.709549515335648e-07,1.2393860395817337e-08
2012,4,21.15925357015451,28.441195678392294,-457452137.9672995,-4.420087202942583,-2.9954160259672875,-0.07723118809551216,-0.15304345138829903,-4.4075761859044156e-08,1.190527996002204e-07,7.193312685713808e-09
2012,5,26.93318609231053,28.728249978220955,-457452137.9649879,-5.168093153710902,-2.029302157241212,-0.2114368790330795,-0.36683374089308274,-5.185883589180356e-08,6.239716744908842e-08,2.852610634681088e-09
2012,6,28.975926723702365,28.619843911578677,-457452138.05263585,-4.834192304745228,-1.5848888824500982,-0.29620013955761404,-0.17164506606173283,-5.0919589268359175e-08,4.656163846195045e-08,9.88969462183832e-10
2012,7,31.322495891502395,28.22680923260521,-457452137.99684525,-5.496218820471736,-0.9022254703246807,-0.01456579684934302,0.031517544087979035,-5.027115873220117e-08,5.5305743045041936e-08,2.55922463388002e-09
2012,8,32.404775011408915,28.152000766535366,-457452137.9711282,-5.868510720468837,-0.9898335343590502,-0.45318303282019096,0.4501437010347015,-5.5468800779143866e-08,2.3521954830921248e-08,1.9920465325985255e-10
2012,9,32.14172592445748,28.17197292799963,-457452137.98568356,-5.534694435328421,-1.9667246424587521,-0.14162187059274942,0.5999547918462127,-5.279021000245894e-08,6.437641263347745e-09,1.5675120256512988e-11
2012,10,35.447984091046514,27.844253409890488,-457452138.0543175,-5.684933204622664,-1.8370619516753586,-0.006442854231273806,1.1186989014716566,-4.8782281518805424e-08,6.234648456025902e-09,1.1821653193453543e-11
2012,11,34.981920853441785,28.464410421463135,-457452138.0302793,-4.957549650288192,-2.258029527212741,0.12560181071360907,0.6830459579148076,-4.604904085386291e-08,9.112469909119549e-09,1.928039791551097e-10
2012,12,33.988746490629936,28.412194619280378,-457452138.02874845,-5.101672653263138,-2.828909773798384,0.38861550229090164,-0.354663349488484,-4.7904358700786454e-08,4.26449484138564e-08,2.389149579096854e-10
2013,1,28.756385490789306,28.091578931657615,-457452137.9965189,-4.2937977527372935,-4.097744824618277,0.5067828391745154,-0.3244605013834579,-4.2245939809526114e-08,1.4451716308292787e-07,4.899324149174202e-09
2013,2,25.706224483671924,28.18824198670192,-457452137.96363133,-4.778075564718811,-3.498728772239572,0.5295549688014117,-0.1558359195499427,-4.326017239154914e-08,1.1739110622702788e-07,6.191149997314078e-09
2013,3,24.97103262504527,28.350778677725096,-457452137.937179,-4.390020531310133,-4.133360840865141,0.6083644084965012,-0.21075031446026904,-4.393911251846032e-08,1.4847186529764396e-07,9.172035366094296e-09
2013,4,20.378136673265995,28.72627419766131,-457452137.90854263,-3.8689004546086463,-3.2110997881056993,0.37709510456419215,-0.20237568238714956,-4.166342055173185e-08,1.3226274594439245e-07,1.173661566606196e-08
2013,5,24.664188984690057,28.854910955538745,-457452137.9813831,-4.167712416874586,-1.5723904477950383,0.08938400861064809,-0.33506243163719773,-4.467975939929146e-08,1.7174641448051658e-07,9.270331432702848e-09
2013,6,29.40184932728223,28.909351116646143,-457452138.0425704,-4.54561762502913,-1.285424130290923,-0.04196700292831177,0.2092027336030322,-4.980604469640629e-08,4.902433048025077e-08,8.9622500066613e-10
2013,7,29.281236977713103,28.564030068740188,-457452138.0138074,-4.1483077486238535,-0.9584683912128387,0.10478455716010002,0.0915076689561829,-4.8669057859647914e-08,8.450483455486577e-08,4.787051100336928e-09
2013,8,32.49543218837992,28.377362889289696,-457452137.9764953,-5.445019052049817,-1.2446071307048114,0.30076894293523443,0.43189081072933594,-5.275901998290166e-08,3.3580287621519215e-08,1.200583585646757e-09
2013,9,32.9281669319191,28.428378370986472,-457452137.957012,-5.8620942806351115,-1.6009660487520625,0.27689267441482196,-0.056675743480974976,-5.460127752577164e-08,1.5957925551140905e-08,5.110742333633922e-10
2013,10,33.938562932549765,28.383910655892723,-457452137.95007557,-5.760635898310757,-2.085567490456725,0.20296504590660333,0.35097040017800674,-5.4090880404536516e-08,1.1277595894550404e-08,3.272181353547085e-11
2013,11,35.12120382251111,28.516796638240933,-457452138.0082145,-5.508400602806249,-1.9614486299322906,0.10557388599961996,0.05048060610890388,-4.944713572344314e-08,1.6176201600712848e-08,3.278712653653966e-11
2013,12,32.12966075263695,28.041171054372406,-457452137.99128306,-5.413789874703221,-2.8134097294694573,0.03673758672699529,0.13351739135006785,-4.542303767970471e-08,4.637967644097275e-08,5.123804933847682e-10
2014,1,31.189969187969638,27.971809238304896,-457452137.97637653,-4.565904267617231,-3.0529694872847677,0.5898512239438161,-0.4945923116241322,-4.4994323395818e-08,9.62959212638191e-08,3.516517290545482e-09
2014,2,27.88053122796644,27.64715597544449,-457452137.9630853,-4.820098072995801,-3.4842440002768704,0.4627164628508748,-0.22838562016128278,-4.0536245717739504e-08,2.037533119062883e-07,1.7684540047395813e-08
2014,3,22.25776355296584,27.375153699532014,-457452137.9472249,-4.3904716284317375,-4.105196964987637,0.6670349433731574,-0.47796359518542886,-3.984566890609492e-08,1.7375256862134597e-07,1.3731927848713926e-08
2014,4,19.570416445087115,27.801834314478008,-457452137.95009094,-4.1550533332415585,-3.6629829697707703,0.1954306740343811,0.02302059936787813,-4.1630053262053e-08,1.905948322069585e-07,1.850127912576121e-08
2014,5,16.58793505494312,28.31889980126643,-457452137.92902,-3.5691901831584567,-2.489736505866756,0.06987189910575456,0.02027840729729802,-3.805598756369859e-08,2.4183170591141606e-07,1.879375074454731e-08
