feature,importance,importance_std
low_sst,0.12334870513234401,0.012780942868395472
low_sst_lag1,0.102066115161801,0.01299342845726507
low_sst_lag2,0.056928592901455397,0.007925311516514887
curr_mag,0.05379788726669112,0.0047328815132159
wind_mag,0.050803234237014015,0.00444910387605782
wind_mag_lag3,0.04901857120971276,0.00512593332030686
EPR_lag3,0.04878597799299042,0.004509245571887632
low_sla_lag3,0.04367018509183403,0.0038827004394640366
EPR,0.04338865382232841,0.004471113130873684
low_sla_lag2,0.0421971537484971,0.0034895906471447886
low_sst_lag3,0.04112848342790291,0.004209886013768814
curr_mag_lag2,0.03959160424152979,0.004232111130499424
month_sin,0.03725662454600672,0.004948509686068518
low_sla,0.03515220490775076,0.0023642429042955854
wind_mag_lag1,0.03501562842033123,0.0028426937240711965
wind_mag_lag2,0.03127386641132996,0.002774542016726078
low_sla_lag1,0.030472586401571043,0.00212748155554661
EPR_lag1,0.030251447790111918,0.00231064788982722
EPR_lag2,0.02989763023573077,0.003090626474506254
curr_mag_lag1,0.023706580243051317,0.0021846708798911986
curr_mag_lag3,0.02232995909236532,0.0013757691667226348
month_cos,0.018379698360596053,0.002449806869371178
