model,R2,RMSE,MAE
RandomForest,0.013816666666666672,0.061783333333333336,0.04841666666666666
SVR,0.00553333333333333,0.06203333333333333,0.0488
XGBoost,-0.05326666666666668,0.06265,0.050583333333333334
ElasticNet,-0.11461666666666666,0.06488333333333333,0.05071666666666667
Baseline_Linear,-1.7686,0.09949999999999999,0.08291666666666667
