y_true,y_pred,residual
36.99438427672507,37.07902,-0.08463717713235042
37.047897303587874,37.066444,-0.018547093384782443
37.04327657434865,37.00862,0.03465535852834023
37.042581172781496,36.97943,0.06315002043774598
36.98185191037257,36.98039,0.0014632690151472616
36.9999760429701,36.97738,0.022597197755253262
37.02495112125013,37.012928,0.012023112216930087
37.03092744139382,37.031994,-0.0010664245729756772
36.98451276738447,36.950855,0.033657512257519784
37.00055925818912,37.000923,-0.000363898549160524
36.9693051494127,37.042824,-0.07351864209120862
37.06077903213075,37.068043,-0.007263722996199817
37.06490148957125,37.030823,0.034078735664998305
37.07964979719432,37.02997,0.04968153547557108
37.05777628873756,37.00546,0.05231745695044765
36.96789598735768,36.978325,-0.010428902779040072
36.95946735425433,36.975338,-0.015870627923405323
37.002565592444405,36.98689,0.015676706946358365
36.994540075650825,37.02042,-0.025879998812065708
36.96269380753253,36.97452,-0.011827829430359316
36.85749801367126,36.916718,-0.059219515625613894
36.81632909406591,36.930676,-0.11434641252589017
36.933760809509344,37.00187,-0.06810839215081188
