model,R2,RMSE,MAE
XGBoost,0.15360000000000001,0.06684999999999999,0.0528
ElasticNet,0.1413,0.0532,0.0385
RandomForest,0.0779,0.0551,0.0424
SVR,0.0474,0.054849999999999996,0.044950000000000004
