Year,Month,low_sss,low_sst,low_sla,low_uwind,low_vwind,low_ucurr,low_vcurr,low_evap,low_ppt,low_runoff,low_wind_mag,low_curr_mag,low_E_minus_P,month_sin,month_cos,low_sss_lag1,low_sss_lag2,low_sst_lag1,low_sst_lag2,low_sst_x_windmag,low_sss_is_outlier,low_sst_is_outlier,low_sla_is_outlier,low_uwind_is_outlier,low_vwind_is_outlier,low_ucurr_is_outlier,low_vcurr_is_outlier,low_evap_is_outlier,low_ppt_is_outlier,low_runoff_is_outlier,low_wind_mag_is_outlier,low_curr_mag_is_outlier,low_E_minus_P_is_outlier,low_sss_lag1_is_outlier,low_sss_lag2_is_outlier,low_sst_lag1_is_outlier,low_sst_lag2_is_outlier,low_sst_x_windmag_is_outlier
2011,1,37.14551349813799,25.146059277605826,0.0398112426035502,-6.508739589234076,2.0022757220903094,-0.0517026939458274,-0.0156258170402492,-0.1529649079463185,0.016847576615373,0.0,6.809757639427063,0.05401235709938273,-0.1698124845616915,0.49999999999999994,0.8660254037844387,,,,,171.23856926716203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,37.03058334951496,26.187894596396266,0.048994674556213,-6.047776320276881,2.215007645667657,-0.0638211719392448,-0.0158600501196314,-0.1327184135391867,0.0172559072280071,0.0,6.440641062073554,0.06576232338882096,-0.1499743207671938,0.8660254037844386,0.5000000000000001,37.14551349813799,,25.146059277605826,,168.66682926680392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,36.95368020642273,27.078675668842536,0.0614173076923077,-5.36956346599308,0.906579894956047,-0.049748496784823,-0.0149278578642251,-0.1405216607777677,0.0276266809045915,0.0,5.445557723618962,0.051939906360755524,-0.1681483416823592,1.0,6.123233995736766e-17,37.03058334951496,37.14551349813799,26.187894596396266,25.146059277605826,147.45849143383833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,4,37.02364654453632,26.32115276473358,0.0500721893491124,-7.93584803928285,2.425761215080171,-0.0775309523502805,-0.0255207350135218,-0.1867084670260813,0.0311126934706106,0.0,8.298313176494165,0.08162325947897366,-0.2178211604966919,0.8660254037844387,-0.4999999999999998,36.95368020642273,37.03058334951496,27.078675668842536,26.187894596396266,218.42116880810448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5,36.97464129311303,25.782413052273217,0.03245724852071,-6.922320557063853,1.1560796752748406,-0.0582381054492441,-0.035680482310061,-0.1773827039807506,0.0238470495099852,0.0,7.018193650102026,0.06829914892731719,-0.2012297534907358,0.49999999999999994,-0.8660254037844387,37.02364654453632,36.95368020642273,26.32115276473358,27.078675668842536,180.94596756777148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6,36.975733273217,24.964324392694188,0.0550346153846153,-7.166839397870577,1.602748895537924,-0.0489179591604194,-0.041690884571324,-0.1948013668053249,0.0241856321075258,0.0,7.3438675762174475,0.06427360721758132,-0.2189869989128507,1.2246467991473532e-16,-1.0,36.97464129311303,37.02364654453632,25.782413052273217,26.32115276473358,183.33469246968116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,37.00029938208736,24.70356549097028,0.0320739644970414,-6.353235998097256,2.681361474581724,-0.0470423756825831,-0.019015894562773,-0.1887219179664137,0.0238344542373566,0.0,6.8958905882336845,0.05074041146742688,-0.2125563722037703,-0.4999999999999997,-0.8660254037844388,36.975733273217,36.97464129311303,24.964324392694188,25.782413052273217,170.3530847649964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,8,37.04466291237056,23.37470361954648,0.0271047337278106,-7.346164755567291,2.281914695656511,-0.052197466025607,-0.029868855132837,-0.1965987152866357,0.0149009072568995,0.0,7.692416479507086,0.06013920490363005,-0.2114996225435352,-0.8660254037844385,-0.5000000000000004,37.00029938208736,36.975733273217,24.70356549097028,24.964324392694188,179.8079553265933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,9,36.97073511280497,23.35235697310317,0.0251275147928994,-6.331993136180223,2.82897706656061,-0.0671571134121195,-0.0261462575493562,-0.1594891037637665,0.0110330525234606,0.0,6.935217972043801,0.07206736200032264,-0.17052215628722708,-1.0,-1.8369701987210297e-16,37.04466291237056,37.00029938208736,23.37470361954648,24.70356549097028,161.95368576944747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,10,36.90059209130533,23.393673842447527,0.03465724852071,-7.803637086992433,1.8978543610438792,-0.0809545748255397,-0.0362838873929966,-0.1792433739766566,0.0167097283538276,0.0,8.031102225797964,0.08871394292630422,-0.19595310233048419,-0.8660254037844386,0.5000000000000001,36.97073511280497,37.04466291237056,23.35235697310317,23.37470361954648,187.87698606567193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
