Variable,Q1,Q3,IQR,Lower_Bound,Upper_Bound,Outlier_Count,Outlier_Pct
sss,36.96267643488504,37.05319038878986,0.09051395390481787,36.82690550402781,37.188961319647085,3,1.7857142857142858
sst,23.66998041911183,25.95488695192648,2.2849065328146487,20.242620619889856,29.38224675114845,0,0.0
sla,0.051892085798816524,0.08874005177514788,0.03684796597633135,-0.003379863165680501,0.1440120007396449,0,0.0
uwind,-7.4833707024712535,-6.2690052351302645,1.214365467340989,-9.304918903482736,-4.447457034118781,0,0.0
vwind,1.3607782293662165,2.2601806770062307,0.8994024476400142,0.011674557906195204,3.609284348466252,3,1.7857142857142858
ucurr,-0.07002299919314767,-0.051467096648631354,0.018555902544516313,-0.09785685300992214,-0.023633242831856884,3,1.7857142857142858
vcurr,-0.0338518888501737,-0.016211939741147225,0.017639949109026474,-0.06031181251371341,0.010247983922392487,0,0.0
evap,-0.1874877958167234,-0.14279547204764986,0.04469232376907353,-0.2545262814703337,-0.07575698639403956,1,0.5952380952380952
ppt,0.01385184293667945,0.023313147076488176,0.009461304139808726,-0.00034011327303363863,0.03750510328620127,3,1.7857142857142858
runoff,0.0,0.0,0.0,0.0,0.0,0,0.0
wind_mag,6.487496273082134,7.791519098305608,1.3040228252234742,4.531462035246923,9.74755333614082,0,0.0
curr_mag,0.05554415624231063,0.07484735167671822,0.01930319543440759,0.026589363090699245,0.1038021448283296,2,1.1904761904761905
E_minus_P,-0.21036058188741197,-0.15879122715597668,0.051569354731435285,-0.2877146139845649,-0.08143719505882376,1,0.5952380952380952
sss_lag1,36.96384537721296,37.053417535477074,0.08957215826411158,36.82948713981679,37.18777577287324,3,1.7857142857142858
sss_lag2,36.96511303189995,37.05364468216429,0.08853165026433629,36.832315556503445,37.18644215756079,2,1.1904761904761905
sst_lag1,23.669787304176907,25.95743465532656,2.2876473511496513,20.23831627745243,29.388905682051035,0,0.0
sst_lag2,23.669594189241984,25.959982358726634,2.2903881694846504,20.23401193501501,29.39556461295361,0,0.0
sst_x_windmag,162.16345931934217,188.15407511135456,25.99061579201239,123.17753563132358,227.13999879937313,4,2.380952380952381
