Year,Month,low_sss,low_sst,low_sla,low_wind_mag,low_curr_mag,low_E_minus_P,low_runoff,low_sss_lag1,low_sss_lag2,low_sst_lag1,low_sst_lag2,month_sin,month_cos
2011,1,37.14551349813799,25.146059277605826,0.0398112426035502,6.809757639427063,0.05401235709938273,-0.1698124845616915,0.0,,,,,0.49999999999999994,0.8660254037844387
2011,2,37.03058334951496,26.187894596396266,0.048994674556213,6.440641062073554,0.06576232338882096,-0.1499743207671938,0.0,37.14551349813799,,25.146059277605826,,0.8660254037844386,0.5000000000000001
2011,3,36.95368020642273,27.078675668842536,0.0614173076923077,5.445557723618962,0.051939906360755524,-0.1681483416823592,0.0,37.03058334951496,37.14551349813799,26.187894596396266,25.146059277605826,1.0,6.123233995736766e-17
2011,4,37.02364654453632,26.32115276473358,0.0500721893491124,8.298313176494165,0.08162325947897366,-0.2178211604966919,0.0,36.95368020642273,37.03058334951496,27.078675668842536,26.187894596396266,0.8660254037844387,-0.4999999999999998
2011,5,36.97464129311303,25.782413052273217,0.03245724852071,7.018193650102026,0.06829914892731719,-0.2012297534907358,0.0,37.02364654453632,36.95368020642273,26.32115276473358,27.078675668842536,0.49999999999999994,-0.8660254037844387
2011,6,36.975733273217,24.964324392694188,0.0550346153846153,7.3438675762174475,0.06427360721758132,-0.2189869989128507,0.0,36.97464129311303,37.02364654453632,25.782413052273217,26.32115276473358,1.2246467991473532e-16,-1.0
2011,7,37.00029938208736,24.70356549097028,0.0320739644970414,6.8958905882336845,0.05074041146742688,-0.2125563722037703,0.0,36.975733273217,36.97464129311303,24.964324392694188,25.782413052273217,-0.4999999999999997,-0.8660254037844388
2011,8,37.04466291237056,23.37470361954648,0.0271047337278106,7.692416479507086,0.06013920490363005,-0.2114996225435352,0.0,37.00029938208736,36.975733273217,24.70356549097028,24.964324392694188,-0.8660254037844385,-0.5000000000000004
2011,9,36.97073511280497,23.35235697310317,0.0251275147928994,6.935217972043801,0.07206736200032264,-0.17052215628722708,0.0,37.04466291237056,37.00029938208736,23.37470361954648,24.70356549097028,-1.0,-1.8369701987210297e-16
2011,10,36.90059209130533,23.393673842447527,0.03465724852071,8.031102225797964,0.08871394292630422,-0.19595310233048419,0.0,36.97073511280497,37.04466291237056,23.35235697310317,23.37470361954648,-0.8660254037844386,0.5000000000000001
2011,11,36.86024938580898,23.245357468591443,0.0542389053254437,8.276365638390045,0.0882470031738806,-0.18221827256961678,0.0,36.90059209130533,36.97073511280497,23.393673842447527,23.35235697310317,-0.5000000000000004,0.8660254037844384
2011,12,36.97810841531359,23.614106649125738,0.0367025147928994,7.8498739391629355,0.08141025236215907,-0.1838444977249266,0.0,36.86024938580898,36.90059209130533,23.245357468591443,23.393673842447527,-2.4492935982947064e-16,1.0
2012,1,36.99624022996291,24.202934179388738,0.0343099112426035,7.028806563069804,0.08192433347521239,-0.15834291032432798,0.0,36.97810841531359,36.86024938580898,23.614106649125738,23.245357468591443,0.49999999999999994,0.8660254037844387
2012,2,37.03353793096861,24.634948949468,0.0322680473372781,7.2613082937020605,0.10517668508061565,-0.15897828977577078,0.0,36.99624022996291,36.97810841531359,24.202934179388738,23.614106649125738,0.8660254037844386,0.5000000000000001
2012,3,37.06564142324527,25.394273625942127,0.0588903846153846,7.051774741931368,0.09218444515839606,-0.1636449467809595,0.0,37.03353793096861,36.99624022996291,24.634948949468,24.202934179388738,1.0,6.123233995736766e-17
2012,4,37.08180084066127,25.43371984571323,0.0563881656804733,6.662631539110694,0.06634874274478536,-0.1827326932778724,0.0,37.06564142324527,37.03353793096861,25.394273625942127,24.634948949468,0.8660254037844387,-0.4999999999999998
2012,5,37.155290299782045,25.69215107681411,0.0494575443786982,6.5474831479770055,0.053080323116405294,-0.1936277021714568,0.0,37.08180084066127,37.06564142324527,25.43371984571323,25.394273625942127,0.49999999999999994,-0.8660254037844387
2012,6,37.09341750697685,24.028986149300827,0.037400147928994,8.55796852991222,0.06865517078566506,-0.21587850250436,0.0,37.155290299782045,37.08180084066127,25.69215107681411,25.43371984571323,1.2246467991473532e-16,-1.0
2012,7,37.02940053354589,23.502394492813767,0.0314994082840236,8.673288718381427,0.07042613542429471,-0.23942695681512702,0.0,37.09341750697685,37.155290299782045,24.028986149300827,25.69215107681411,-0.4999999999999997,-0.8660254037844388
2012,8,36.99786988646904,22.77700225859808,0.0210124260355029,8.815043671425988,0.08585341249374309,-0.2330125538775554,0.0,37.02940053354589,37.09341750697685,23.502394492813767,24.028986149300827,-0.8660254037844385,-0.5000000000000004
2012,9,36.96048039307657,22.64362720590704,0.0173494082840236,7.755066967757345,0.06912158106104287,-0.160432235508628,0.0,36.99786988646904,37.02940053354589,22.77700225859808,23.502394492813767,-1.0,-1.8369701987210297e-16
2012,10,37.03656046069419,22.617460364855468,0.0288516272189349,8.154945866024624,0.08263146355356248,-0.16724322524649152,0.0,36.96048039307657,36.99786988646904,22.64362720590704,22.77700225859808,-0.8660254037844386,0.5000000000000001
2012,11,37.00621870812856,22.87528844333256,0.029271597633136,6.687741527173774,0.05721136843373735,-0.1308148867897027,0.0,37.03656046069419,36.96048039307657,22.617460364855468,22.64362720590704,-0.5000000000000004,0.8660254037844384
2012,12,36.98013842924204,24.00717115646909,0.0133940828402366,6.02957104655878,0.049625051564997656,-0.15929206101411178,0.0,37.00621870812856,37.03656046069419,22.87528844333256,22.617460364855468,-2.4492935982947064e-16,1.0
