Variable,Q1,Q3,IQR,Lower_Bound,Upper_Bound,Outlier_Count,Outlier_Pct
sss,33.76801947794712,34.005915673408566,0.23789619546144536,33.41117518475495,34.362759966600734,1,0.5952380952380952
sst,1.3337577245306227,2.8329567907218722,1.4991990661912495,-0.9150408747562515,5.081755390008746,0,0.0
sla,0.046771116863905254,0.0915338017751479,0.04476268491124265,-0.020372910502958724,0.1586778291420119,0,0.0
uwind,6.575577619336766,8.441150441148578,1.8655728218118117,3.7772183866190483,11.239509673866294,4,2.380952380952381
vwind,-2.360880517792067,-0.6782128059166792,1.6826677118753877,-4.884882085605149,1.8457887618964024,2,1.1904761904761905
ucurr,0.1660966850963497,0.18494899186749836,0.018852306771148658,0.1378182249396267,0.21322745202422133,3,1.7857142857142858
vcurr,-0.004273016330718525,0.020464761906236077,0.024737778236954604,-0.04137968368615043,0.05757142926166798,0,0.0
evap,-0.03922666894194815,-0.019418278885399,0.01980839005654915,-0.06893925402677187,0.010294306199424723,0,0.0
ppt,0.0779766048905412,0.10500936113165678,0.027032756241115577,0.037427470528867836,0.14555849549333014,2,1.1904761904761905
runoff,0.0,0.0,0.0,0.0,0.0,0,0.0
wind_mag,6.808108643389606,8.731890638869878,1.9237819954802715,3.922435650169199,11.617563632090285,6,3.5714285714285716
curr_mag,0.1664933224497909,0.18624101230104181,0.019747689851250916,0.13687178767291452,0.2158625470779182,3,1.7857142857142858
E_minus_P,-0.1435199467377108,-0.10250784339901253,0.04101210333869826,-0.20503810174575818,-0.040989688390965145,1,0.5952380952380952
sss_lag1,33.76762811643893,34.00691583917799,0.23928772273906418,33.40869653233033,34.36584742328659,0,0.0
sss_lag2,33.76921140865915,34.00791600494741,0.23870459628825813,33.411154514226766,34.3659728993798,0,0.0
sst_lag1,1.3316617854669532,2.8378845519529508,1.5062227664859975,-0.927672364262043,5.097218701681947,0,0.0
sst_lag2,1.329565846403284,2.8428123131840297,1.5132464667807457,-0.9403038537678343,5.112682013355148,0,0.0
sst_x_windmag,8.804965362278436,21.431080521030324,12.626115158751889,-10.134207375849398,40.37025325915816,0,0.0
