Year,Month,med_sss,med_sst,med_sla,med_wind_mag,med_curr_mag,med_E_minus_P,med_runoff,med_sss_lag1,med_sss_lag2,med_sst_lag1,med_sst_lag2,month_sin,month_cos
2011,1,34.364923554705506,3.263524931826435,0.0269285502958579,7.74172316941091,0.18013405747246647,-0.11951501266314421,0.0,,,,,0.49999999999999994,0.8660254037844387
2011,2,34.041436909214326,3.6640452477725343,0.0320505917159763,6.809032881459115,0.19354916810176634,-0.0783211691139717,0.0,34.364923554705506,,3.263524931826435,,0.8660254037844386,0.5000000000000001
2011,3,33.958405642021354,3.267152055242213,0.0091687869822485,6.246458617092383,0.18267055156589337,-0.13318001631008092,0.0,34.041436909214326,34.364923554705506,3.6640452477725343,3.263524931826435,1.0,6.123233995736766e-17
2011,4,33.72411985212238,2.8477400744151087,0.0093479289940828,8.070011260981502,0.18913807747480826,-0.1155824630835352,0.0,33.958405642021354,34.041436909214326,3.267152055242213,3.6640452477725343,0.8660254037844387,-0.4999999999999998
2011,5,34.08338185814356,2.424065607203671,0.0481264792899408,7.078224532505459,0.17948904830944884,-0.1015489290980896,0.0,33.72411985212238,33.958405642021354,2.8477400744151087,3.267152055242213,0.49999999999999994,-0.8660254037844387
2011,6,34.113005473162524,2.147921056526711,0.0364647928994082,5.950367965296424,0.17171827787635244,-0.101089618174282,0.0,34.08338185814356,33.72411985212238,2.424065607203671,2.8477400744151087,1.2246467991473532e-16,-1.0
2011,7,34.210923013870946,1.5833698825321922,0.0495306213017751,9.974932729866701,0.19315033752296834,-0.1244739570913935,0.0,34.113005473162524,34.08338185814356,2.147921056526711,2.424065607203671,-0.4999999999999997,-0.8660254037844388
2011,8,34.02446971365161,1.3489024321516463,0.042692899408284,7.950597582272933,0.1952579351992861,-0.16804020287546179,0.0,34.210923013870946,34.113005473162524,1.5833698825321922,2.147921056526711,-0.8660254037844385,-0.5000000000000004
2011,9,33.83491369621962,1.507376199049133,0.0327863905325443,6.113726668481599,0.1580032652929978,-0.151663952060705,0.0,34.02446971365161,34.210923013870946,1.3489024321516463,1.5833698825321922,-1.0,-1.8369701987210297e-16
2011,10,33.652559920366144,1.0676140246195014,0.0411569526627218,5.934127307951545,0.16510280600313076,-0.10747865935754489,0.0,33.83491369621962,34.02446971365161,1.507376199049133,1.3489024321516463,-0.8660254037844386,0.5000000000000001
2011,11,33.54686666981207,1.5047514456561242,0.0407386094674556,8.938112796561827,0.17511971197701956,-0.13215329123319242,0.0,33.652559920366144,33.83491369621962,1.0676140246195014,1.507376199049133,-0.5000000000000004,0.8660254037844384
2011,12,33.74609780677096,2.4393533526149698,0.060135798816568,7.965444563887256,0.18518785467588283,-0.0956793386687541,0.0,33.54686666981207,33.652559920366144,1.5047514456561242,1.0676140246195014,-2.4492935982947064e-16,1.0
2012,1,33.80042334469862,2.882092892251323,0.0604971893491124,8.50814412006966,0.19329100660737528,-0.12582593988737412,0.0,33.74609780677096,33.54686666981207,2.4393533526149698,1.5047514456561242,0.49999999999999994,0.8660254037844387
2012,2,33.812139309085964,3.161977076845217,0.0637079881656804,6.2456065081841645,0.1538779476898177,-0.10895228635012749,0.0,33.80042334469862,33.74609780677096,2.882092892251323,2.4393533526149698,0.8660254037844386,0.5000000000000001
2012,3,33.85275955185924,2.923271551380535,0.0146471893491124,7.602013345116707,0.16631459674158072,-0.1389211263485561,0.0,33.812139309085964,33.80042334469862,3.161977076845217,2.882092892251323,1.0,6.123233995736766e-17
2012,4,33.83479082911515,2.2323608968484066,0.0024227810650887,6.935719656801217,0.16879032930762988,-0.1127190178138969,0.0,33.85275955185924,33.812139309085964,2.923271551380535,3.161977076845217,0.8660254037844387,-0.4999999999999998
2012,5,34.00891617071684,2.016277393375138,-0.0180420118343195,7.731796510211798,0.17475017353401728,-0.1617393582927051,0.0,33.83479082911515,33.85275955185924,2.2323608968484066,2.923271551380535,0.49999999999999994,-0.8660254037844387
2012,6,33.99410487799226,1.1149398172882252,0.0016775147928994,7.054631523678017,0.16632807370942534,-0.13287938029103008,0.0,34.00891617071684,33.83479082911515,2.016277393375138,2.2323608968484066,1.2246467991473532e-16,-1.0
2012,7,33.74592890594596,0.9865217378273596,0.0302116863905325,8.10406923649897,0.15841596568883562,-0.1073079699066263,0.0,33.99410487799226,34.00891617071684,1.1149398172882252,2.016277393375138,-0.4999999999999997,-0.8660254037844388
2012,8,33.760854184864726,0.810380779748765,0.0178545857988165,8.799523206019389,0.17836302840961243,-0.16780052984342758,0.0,33.74592890594596,33.99410487799226,0.9865217378273596,1.1149398172882252,-0.8660254037844385,-0.5000000000000004
2012,9,34.028182433235166,0.752671087712979,0.0074815088757396,8.433694951475871,0.1765568551319701,-0.14754557023210618,0.0,33.760854184864726,33.74592890594596,0.810380779748765,0.9865217378273596,-1.0,-1.8369701987210297e-16
2012,10,34.08994589780342,0.729985190784151,0.0218044378698224,9.524577201388365,0.1796080682216431,-0.1053135817396569,0.0,34.028182433235166,33.760854184864726,0.752671087712979,0.810380779748765,-0.8660254037844386,0.5000000000000001
2012,11,34.04457184479777,1.4255897117253296,0.0255878698224852,7.635036083884264,0.16865488152929203,-0.0874232414823311,0.0,34.08994589780342,34.028182433235166,0.729985190784151,0.752671087712979,-0.5000000000000004,0.8660254037844384
2012,12,34.33998070459753,1.831586139629669,0.0275887573964497,7.841207953943434,0.17801429498687474,-0.0942009166103494,0.0,34.04457184479777,34.08994589780342,1.4255897117253296,0.729985190784151,-2.4492935982947064e-16,1.0
