,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
sss,168.0,33.88705118607709,0.166165688957007,33.454131670006205,33.76801947794712,33.88727484781177,34.005915673408566,34.364923554705506,-0.0007077735811430334,-0.06974970208824782
sst,168.0,2.0256851432700764,0.8809886298194916,0.3676632067722248,1.3337577245306227,1.9574765739221172,2.8329567907218722,4.179054745982223,0.17991987615165456,-1.0006127314563698
sla,168.0,0.06821575267681033,0.029380038714190274,-0.0180420118343195,0.046771116863905254,0.07103994082840229,0.0915338017751479,0.1239655325443787,-0.44955710222269657,-0.3944538396337607
uwind,168.0,7.416227849191446,1.467983721483375,2.315450347739564,6.575577619336766,7.594421681215072,8.441150441148578,10.804792632718058,-0.7082693473014112,0.7899434904556206
vwind,168.0,-1.4400326963857208,1.2641183544862618,-4.167718632334083,-2.360880517792067,-1.485843041592096,-0.6782128059166792,2.4221092601852305,0.36104508455888934,0.12970317656827035
ucurr,168.0,0.17553884894923866,0.015335796579864626,0.1317323554512068,0.1660966850963497,0.17571878230292898,0.18494899186749836,0.2178586146314821,-0.07334257292182907,0.272235789804955
vcurr,168.0,0.007942792691444808,0.0164201573729821,-0.0399689176436734,-0.004273016330718525,0.0103044769537938,0.020464761906236077,0.0422165100159641,-0.39800330209791923,-0.23466206576217585
evap,168.0,-0.029848968620664187,0.013442898190689757,-0.0669151888884736,-0.03922666894194815,-0.026693219638611397,-0.019418278885399,-0.0004487448542781,-0.5799925327743233,-0.23505122270696654
ppt,168.0,0.0939374279727328,0.020534826593997697,0.0515381965411485,0.0779766048905412,0.09389110994056835,0.10500936113165678,0.1531893036069249,0.4655883402863598,0.04110711965341585
runoff,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
