Year,Month,med_sss,med_sst,med_sla,med_uwind,med_vwind,med_ucurr,med_vcurr,med_evap,med_ppt,med_runoff,med_wind_mag,med_curr_mag,med_E_minus_P,month_sin,month_cos,med_sss_lag1,med_sss_lag2,med_sst_lag1,med_sst_lag2,med_sst_x_windmag,med_sss_is_outlier,med_sst_is_outlier,med_sla_is_outlier,med_uwind_is_outlier,med_vwind_is_outlier,med_ucurr_is_outlier,med_vcurr_is_outlier,med_evap_is_outlier,med_ppt_is_outlier,med_runoff_is_outlier,med_wind_mag_is_outlier,med_curr_mag_is_outlier,med_E_minus_P_is_outlier,med_sss_lag1_is_outlier,med_sss_lag2_is_outlier,med_sst_lag1_is_outlier,med_sst_lag2_is_outlier,med_sst_x_windmag_is_outlier
2011,1,34.364923554705506,3.263524931826435,0.0269285502958579,7.520967475761323,-1.8355723522471248,0.1800538329021817,0.0053754924171736,-0.0209311140624023,0.0985838986007419,0.0,7.74172316941091,0.18013405747246647,-0.11951501266314421,0.49999999999999994,0.8660254037844387,,,,,25.26530657867087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,34.041436909214326,3.6640452477725343,0.0320505917159763,5.860001841240381,-3.467464087982855,0.1924014599034948,-0.0210465840432522,-0.0117194440943249,0.0666017250196468,0.0,6.809032881459115,0.19354916810176634,-0.0783211691139717,0.8660254037844386,0.5000000000000001,34.364923554705506,,3.263524931826435,,24.948604571237194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,33.958405642021354,3.267152055242213,0.0091687869822485,6.210937942273518,-0.6652030759661861,0.1826383977409964,0.0034272554601761,-0.0328511476472637,0.1003288686628172,0.0,6.246458617092383,0.18267055156589337,-0.13318001631008092,1.0,6.123233995736766e-17,34.041436909214326,34.364923554705506,3.6640452477725343,3.263524931826435,20.40813010881881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,4,33.72411985212238,2.8477400744151087,0.0093479289940828,7.884677965965497,-1.71957411162952,0.1883543937483571,0.0171998461201089,-0.0270038382453326,0.0885786248382026,0.0,8.070011260981502,0.18913807747480826,-0.1155824630835352,0.8660254037844387,-0.4999999999999998,33.958405642021354,34.041436909214326,3.267152055242213,3.6640452477725343,22.98129446887823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5,34.08338185814356,2.424065607203671,0.0481264792899408,6.870991570709725,-1.700216859050051,0.1789591132811981,0.0137823886405428,-0.0181083967523461,0.0834405323457435,0.0,7.078224532505459,0.17948904830944884,-0.1015489290980896,0.49999999999999994,-0.8660254037844387,33.72411985212238,33.958405642021354,2.8477400744151087,3.267152055242213,17.158080649311767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6,34.113005473162524,2.147921056526711,0.0364647928994082,5.941954360205746,-0.3163183580790564,0.1715604603371842,0.0073603943993265,-0.0331459097431961,0.0679437084310859,0.0,5.950367965296424,0.17171827787635244,-0.101089618174282,1.2246467991473532e-16,-1.0,34.08338185814356,33.72411985212238,2.424065607203671,2.8477400744151087,12.78092064674219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,34.210923013870946,1.5833698825321922,0.0495306213017751,9.825649721382636,-1.719270344669297,0.1902198562957897,0.0335180422466127,-0.0250241334974413,0.0994498235939522,0.0,9.974932729866701,0.19315033752296834,-0.1244739570913935,-0.4999999999999997,-0.8660254037844388,34.113005473162524,34.08338185814356,2.147921056526711,2.424065607203671,15.794008064755559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,8,34.02446971365161,1.3489024321516463,0.042692899408284,6.897351906849788,-3.954559215427152,0.1950471977656431,-0.0090692834368942,-0.0236455483813963,0.1443946544940655,0.0,7.950597582272933,0.1952579351992861,-0.16804020287546179,-0.8660254037844385,-0.5000000000000004,34.210923013870946,34.113005473162524,1.5833698825321922,2.147921056526711,10.724580415786958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,9,33.83491369621962,1.507376199049133,0.0327863905325443,5.96921891291466,1.3213929569227456,0.157878696490024,-0.006272881145082,-0.0628124296488846,0.0888515224118204,0.0,6.113726668481599,0.1580032652929978,-0.151663952060705,-1.0,-1.8369701987210297e-16,34.02446971365161,34.210923013870946,1.3489024321516463,1.5833698825321922,9.21568606756111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,10,33.652559920366144,1.0676140246195014,0.0411569526627218,5.933342465282192,0.09650956768785,0.1649494127717596,-0.0071153198353348,-0.0354550419121804,0.0720236174453645,0.0,5.934127307951545,0.16510280600313076,-0.10747865935754489,-0.8660254037844386,0.5000000000000001,33.83491369621962,34.02446971365161,1.507376199049133,1.3489024321516463,6.335357537846637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,11,33.54686666981207,1.5047514456561242,0.0407386094674556,8.937217280709532,0.1265213082812467,0.1721007095797252,0.03237683253608,-0.034475259086084,0.0976780321471084,0.0,8.938112796561827,0.17511971197701956,-0.13215329123319242,-0.5000000000000004,0.8660254037844384,33.652559920366144,33.83491369621962,1.0676140246195014,1.507376199049133,13.449638152063912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
