,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
sss,168.0,28.981642886994845,4.60311823189013,16.58793505494312,25.42564217009396,30.301674743000717,32.49578696098186,35.99863844909567,-0.6437344843391685,-0.6883276711351392
sst,168.0,28.48829074995668,0.4206834463207223,27.375153699532014,28.199024513158008,28.477251182984887,28.809182823806506,29.682586960611943,-0.017886483295903397,-0.15556230270076377
sla,168.0,-457452137.98066556,0.03797294274893242,-457452138.055291,-457452138.00741005,-457452137.981425,-457452137.9569883,-457452137.84260106,0.4390738545343497,0.5010343854128587
uwind,168.0,-4.743871526415813,0.7996592024411424,-6.365887815077629,-5.3950217678349395,-4.83066013182056,-4.16454764596633,-2.317537391855872,0.4911013613127633,-0.28630986904874245
vwind,168.0,-2.153697770781097,1.157994840223213,-4.75771380987393,-3.0515555597444965,-2.0887203765977946,-1.3011838918897605,0.3449067504437276,-0.06890552475032004,-0.7559452430952414
ucurr,168.0,0.15582906926214626,0.2936638568545894,-0.5623197367350603,-0.05940252165969315,0.12651988800918684,0.36837733731645705,1.2009100608155132,0.395905943572186,0.44978169983161553
vcurr,168.0,-0.009175245136570243,0.300045341654313,-0.6707509267143905,-0.23091353211502252,-0.02166757225286065,0.19885397214481293,1.1186989014716566,0.4230933375665742,0.44078654539013495
evap,168.0,-0.12704739378223065,0.013598863722179586,-0.155483212851032,-0.1375048225525127,-0.128287082350642,-0.1173523381716136,-0.0958042452938458,0.2756965856729618,-0.7439027580747899
ppt,168.0,0.23913053019881816,0.2052669061768963,0.0075442974384014,0.041787271668925076,0.1786731855403742,0.4062871848337749,0.9329383161646376,0.6573853831770935,-0.5377168166384214
runoff,168.0,0.014698515142578875,0.018241101531594854,1.489763429178994e-05,0.000284793108877975,0.0052402456836587,0.026471720644708176,0.0857843026606994,1.243305354997558,0.8417473748430244
