,PC1,PC2,PC3,PC4,PC5
high_sss,0.3127938195029783,-0.03049628441602631,-0.045798642907154866,0.08256162739752841,-0.013933436780122894
high_sst,0.10977382416262473,0.31985726548713267,-0.005192148027489906,0.20246751401056337,-0.08175474008830495
high_sla,-0.16864558305548422,-0.08909076864235985,0.07271987983020005,-0.03786740216167688,0.05547675332239833
high_uwind,-0.29417687747773663,0.043168587619550856,-0.011694565617779307,0.14243486381598966,-0.11447208756543577
high_vwind,0.15772202362864995,0.3710318356081286,0.12324122492489273,-0.017705600740675898,0.11366645760336015
high_ucurr,-0.0991282438843357,-0.2333151310008298,0.26023297474936724,0.06237397607169998,-0.08486329532714504
high_vcurr,0.20077454262222866,-0.0003278072172157478,-0.00015552913169358362,0.12575092864928522,0.1861397630536386
high_evap,-0.2786612150198166,-0.10562481351699111,-0.11389644528530353,-0.015527034968432305,-0.08661352965382878
high_ppt,-0.3089368172948097,-0.020085710967040208,-0.11224040980241806,0.09224571200794657,-0.007319569004510886
high_runoff,-0.30475119922387495,-0.044454729334116115,-0.08918832089654724,0.11570159951035862,0.07089838928496635
high_wind_mag,0.18967670048942936,-0.3367562090522057,-0.023804719866681427,-0.13817878108358916,0.06308997093143827
high_curr_mag,-0.08438608197558496,-0.20303237101562405,0.4051765198214074,0.10640265011407497,0.08437599175620913
high_E_minus_P,0.30714047119247734,0.0138389795585244,0.1107012507479972,-0.09862561371379261,0.001672181111805595
month_sin,-0.2857912591283249,-0.08834120173815725,-0.09751766651593571,-0.004982473425458057,-0.07504249771715087
month_cos,0.08108921089550945,-0.3586101216058616,-0.21726583633655971,0.19506530785807363,-0.19355265450573242
high_sss_lag1,0.23907652463160672,-0.22997386612496615,-0.14328254652475725,0.18682574217428458,-0.13915636247281743
high_sss_lag2,0.11702502784288983,-0.35894694725115694,-0.19084793916652798,0.15615784291443022,-0.1820060529326896
high_sst_lag1,0.16956252365753657,0.22243836241385942,-0.010554783614131744,0.3256610954784918,-0.0867484801349615
high_sst_lag2,0.17428033129831985,0.05777621527329948,-0.008658315014236018,0.35013176378725624,-0.14022856469537684
high_sst_x_windmag,0.21065856505296793,-0.3083213192044856,-0.026853730384965618,-0.11692172737243937,0.05470225887326211
high_sss_is_outlier,-0.0,-0.0,8.271806125530277e-25,-5.293955920339377e-23,0.0
high_sst_is_outlier,-0.0,-2.407412430484045e-35,0.0,0.0,1.0587911840678754e-22
high_sla_is_outlier,-0.0706609593938968,-0.07118491879355762,0.10280138542890459,-0.2507731949256243,0.08597981695906483
high_uwind_is_outlier,-0.04737530593653093,-0.005001791843710834,-0.01719380354867583,-0.023515810560607316,-0.032533694567279045
high_vwind_is_outlier,-0.0,9.183549615799121e-41,0.0,0.0,-3.2311742677852644e-27
high_ucurr_is_outlier,-0.04298319904562064,-0.09896813238335377,0.3506511474852476,0.21676787852727125,-0.0012035202247307891
high_vcurr_is_outlier,0.0290097961989078,-0.06797032410807594,0.3033002154560247,0.1362786454744808,0.17686712778208885
high_evap_is_outlier,-0.0,-3.2285916618043785e-42,6.018531076210112e-36,0.0,0.0
high_ppt_is_outlier,-0.0,-0.0,0.0,0.0,0.0
high_runoff_is_outlier,-0.07810967084562825,-0.05229687961124655,-0.22036870655341972,0.3147917545287649,0.46631184362554845
high_wind_mag_is_outlier,-0.08722920650053621,0.1090739665974307,0.029718404733254093,0.20712253070774017,-0.37416118150459493
high_curr_mag_is_outlier,-0.0355020840155825,-0.14505627190667983,0.49453617847461434,0.26381179927348286,0.09470285577950112
high_E_minus_P_is_outlier,-0.06334496465434875,0.003374638905577194,-0.2492320044697985,0.3566606916579563,0.4677193627070468
high_sss_lag1_is_outlier,-0.0,-0.0,0.0,0.0,0.0
high_sss_lag2_is_outlier,-0.0,-0.0,0.0,0.0,0.0
high_sst_lag1_is_outlier,-0.0,-0.0,0.0,0.0,0.0
high_sst_lag2_is_outlier,-0.0,-0.0,0.0,0.0,0.0
high_sst_x_windmag_is_outlier,-0.07209880467645977,0.0727892030076902,0.05013000524100355,0.20172363915320096,-0.3844632386127339
