Variable,Q1,Q3,IQR,Lower_Bound,Upper_Bound,Outlier_Count,Outlier_Pct
sss,25.42564217009396,32.49578696098186,7.070144790887902,14.820424983762106,43.101004147313716,0,0.0
sst,28.199024513158008,28.809182823806506,0.6101583106484973,27.283787047185264,29.724420289779253,0,0.0
sla,-457452138.00741005,-457452137.9569883,0.05042177438735962,-457452138.08304274,-457452137.88135564,2,1.1904761904761905
uwind,-5.3950217678349395,-4.16454764596633,1.2304741218686095,-7.240732950637854,-2.3188364631634157,1,0.5952380952380952
vwind,-3.0515555597444965,-1.3011838918897605,1.750371667854736,-5.677113061526601,1.3243736098923435,0,0.0
ucurr,-0.05940252165969315,0.36837733731645705,0.42777985897615023,-0.7010723101239185,1.0100471257806825,1,0.5952380952380952
vcurr,-0.23091353211502252,0.19885397214481293,0.42976750425983545,-0.8755647885047757,0.8435052285345661,1,0.5952380952380952
evap,-0.1375048225525127,-0.1173523381716136,0.020152484380899102,-0.16773354912386135,-0.08712361160026494,0,0.0
ppt,0.041787271668925076,0.4062871848337749,0.3644999131648498,-0.5049625980783496,0.9530370545810496,0,0.0
runoff,0.000284793108877975,0.026471720644708176,0.026186927535830202,-0.03899559819486733,0.06575211194845348,2,1.1904761904761905
wind_mag,4.946901859441086,5.848714018600249,0.9018121591591628,3.5941836207023417,7.201432257338993,2,1.1904761904761905
curr_mag,0.2143818731311678,0.5260496292877994,0.3116677561566316,-0.2531197611037796,0.9935512635227468,4,2.380952380952381
E_minus_P,-0.5220723933700097,-0.18425399982563304,0.3378183935443766,-1.0287999836865747,0.3224735904909318,1,0.5952380952380952
sss_lag1,25.408368264214907,32.49193993012294,7.083571665908032,14.78301076535286,43.11729742898498,0,0.0
sss_lag2,25.391094358335852,32.488360507717395,7.097266149381543,14.745195134263538,43.13425973178971,0,0.0
sst_lag1,28.196669047691632,28.80971166994853,0.6130426222568985,27.277105114306284,29.72927560333388,0,0.0
sst_lag2,28.194313582225256,28.806556815800686,0.6122432335754304,27.27594873186211,29.72492166616383,0,0.0
sst_x_windmag,140.4852018967007,165.74677839851648,25.261576501815796,102.592837143977,203.63914315124018,1,0.5952380952380952
