Year,Month,high_sss,high_sst,high_sla,high_uwind,high_vwind,high_ucurr,high_vcurr,high_evap,high_ppt,high_runoff,high_wind_mag,high_curr_mag,high_E_minus_P,month_sin,month_cos,high_sss_lag1,high_sss_lag2,high_sst_lag1,high_sst_lag2,high_sst_x_windmag,high_sss_is_outlier,high_sst_is_outlier,high_sla_is_outlier,high_uwind_is_outlier,high_vwind_is_outlier,high_ucurr_is_outlier,high_vcurr_is_outlier,high_evap_is_outlier,high_ppt_is_outlier,high_runoff_is_outlier,high_wind_mag_is_outlier,high_curr_mag_is_outlier,high_E_minus_P_is_outlier,high_sss_lag1_is_outlier,high_sss_lag2_is_outlier,high_sst_lag1_is_outlier,high_sst_lag2_is_outlier,high_sst_x_windmag_is_outlier
2011,1,30.03530556770714,27.9105848290034,-457452138.048092,-4.237492597314733,-3.029209615739845,0.0843512635678052,-0.2731454806029796,-0.1181822753781397,0.4851149722669252,0.0283795983128293,5.208882260945039,0.2858733797318632,-0.6032972476450649,0.49999999999999994,0.8660254037844387,,,,,145.38295020839755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,26.168378586443573,27.890134163694825,-457452137.9883856,-3.8733224304470086,-3.086193511648291,0.1433661812916398,-0.1990127458619619,-0.1019562997761562,0.5026581894011187,0.0383010954546505,4.952496041547528,0.24527522286946385,-0.6046144891772749,0.8660254037844386,0.5000000000000001,30.03530556770714,,27.9105848290034,,138.1257790439281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,24.230626594821025,28.1824652509661,-457452137.963748,-3.707886178906148,-2.9407039868408407,0.1311637979569071,-0.2369301529143447,-0.1157353013180769,0.4919421348346056,0.0507561497434356,4.732458119618689,0.27081329224115847,-0.6076774361526824,1.0,6.123233995736766e-17,26.168378586443573,30.03530556770714,27.890134163694825,27.9105848290034,133.37233650780607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,4,19.774981461697344,28.04910834741253,-457452137.9274208,-3.123190319837903,-3.0458586293564744,0.3941757850845654,-0.2609207013032089,-0.0958042452938458,0.5135793516621788,0.0484515082906689,4.3625190617296425,0.4727093842051286,-0.6093835969560246,0.8660254037844387,-0.4999999999999998,24.230626594821025,26.168378586443573,28.1824652509661,27.890134163694825,122.3647698301072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5,22.25249240451404,28.69004510934785,-457452137.9536327,-3.657216889353899,-0.8222118784954562,0.1179015744040953,-0.6513685779296793,-0.1076980898895207,0.5797432555249457,0.0299744747094148,3.7485020673482943,0.6619530236815125,-0.6874413454144663,0.49999999999999994,-0.8660254037844387,19.774981461697344,24.230626594821025,28.04910834741253,28.1824652509661,107.54469340470624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6,29.556928283393507,28.629811058791795,-457452137.9894714,-4.473172262575499,-0.5130426271807557,-0.1882399658457591,0.0933688003569841,-0.1235715872966325,0.1773011472803601,0.0050966838407798,4.50249739899751,0.21012381497991825,-0.3008727345769926,1.2246467991473532e-16,-1.0,22.25249240451404,19.774981461697344,28.69004510934785,28.04910834741253,128.9056498260002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,30.152118552730656,28.66447206401375,-457452138.0041412,-4.754054580743496,-0.3417171934177305,0.0678113090495268,0.0578297486940425,-0.1374927457620406,0.1489279030342779,0.0037086080517289,4.766319921801883,0.08912156567872079,-0.28642064879631846,-0.4999999999999997,-0.8660254037844388,29.556928283393507,22.25249240451404,28.629811058791795,28.69004510934785,136.62404424664228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,8,32.21692472739739,28.77506139156669,-457452138.0013406,-5.43489289336656,-0.9624941508180996,0.0634094122826354,0.2020595957525074,-0.1505344795316634,0.0491271611501479,0.0004698736427803,5.519461545542771,0.21177543247906716,-0.1996616406818113,-0.8660254037844385,-0.5000000000000004,30.152118552730656,29.556928283393507,28.66447206401375,28.629811058791795,158.8228448213848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,9,33.461282069755335,28.32889039244097,-457452137.9828012,-5.600188033291574,-1.4873205277870392,0.0163268058240646,0.3123394591384567,-0.1364245186366978,0.0213367981318186,7.3133841068787e-05,5.7943272569469935,0.312765890600814,-0.1577613167685164,-1.0,-1.8369701987210297e-16,32.21692472739739,30.152118552730656,28.77506139156669,28.66447206401375,164.14686175998455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,10,32.85065771278734,28.499052557785603,-457452137.98743325,-4.875463716200823,-1.5397516446816322,-0.0727396222097533,-0.0839517730421253,-0.1393534020912012,0.0494644345616447,0.0004093463604266,5.112825204844238,0.111080839194409,-0.1888178366528459,-0.8660254037844386,0.5000000000000001,33.461282069755335,32.21692472739739,28.32889039244097,28.77506139156669,145.71067423162688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,11,33.251426468793795,28.58215080344682,-457452138.055291,-5.349662057041416,-1.5595922716094193,-0.1600417456550834,0.4275116529574411,-0.1357608464871638,0.0398772425905487,0.0001794487766965,5.5723614543757325,0.456486115634123,-0.1756380890777125,-0.5000000000000004,0.8660254037844384,32.85065771278734,33.461282069755335,28.499052557785603,28.32889039244097,159.27007542028142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
