Year,Month,high_sss,high_sst,high_sla,high_wind_mag,high_curr_mag,high_E_minus_P,high_runoff,high_sss_lag1,high_sss_lag2,high_sst_lag1,high_sst_lag2,month_sin,month_cos
2011,1,30.03530556770714,27.9105848290034,-457452138.048092,5.208882260945039,0.2858733797318632,-0.6032972476450649,0.0283795983128293,,,,,0.49999999999999994,0.8660254037844387
2011,2,26.168378586443573,27.890134163694825,-457452137.9883856,4.952496041547528,0.24527522286946385,-0.6046144891772749,0.0383010954546505,30.03530556770714,,27.9105848290034,,0.8660254037844386,0.5000000000000001
2011,3,24.230626594821025,28.1824652509661,-457452137.963748,4.732458119618689,0.27081329224115847,-0.6076774361526824,0.0507561497434356,26.168378586443573,30.03530556770714,27.890134163694825,27.9105848290034,1.0,6.123233995736766e-17
2011,4,19.774981461697344,28.04910834741253,-457452137.9274208,4.3625190617296425,0.4727093842051286,-0.6093835969560246,0.0484515082906689,24.230626594821025,26.168378586443573,28.1824652509661,27.890134163694825,0.8660254037844387,-0.4999999999999998
2011,5,22.25249240451404,28.69004510934785,-457452137.9536327,3.7485020673482943,0.6619530236815125,-0.6874413454144663,0.0299744747094148,19.774981461697344,24.230626594821025,28.04910834741253,28.1824652509661,0.49999999999999994,-0.8660254037844387
2011,6,29.556928283393507,28.629811058791795,-457452137.9894714,4.50249739899751,0.21012381497991825,-0.3008727345769926,0.0050966838407798,22.25249240451404,19.774981461697344,28.69004510934785,28.04910834741253,1.2246467991473532e-16,-1.0
2011,7,30.152118552730656,28.66447206401375,-457452138.0041412,4.766319921801883,0.08912156567872079,-0.28642064879631846,0.0037086080517289,29.556928283393507,22.25249240451404,28.629811058791795,28.69004510934785,-0.4999999999999997,-0.8660254037844388
2011,8,32.21692472739739,28.77506139156669,-457452138.0013406,5.519461545542771,0.21177543247906716,-0.1996616406818113,0.0004698736427803,30.152118552730656,29.556928283393507,28.66447206401375,28.629811058791795,-0.8660254037844385,-0.5000000000000004
2011,9,33.461282069755335,28.32889039244097,-457452137.9828012,5.7943272569469935,0.312765890600814,-0.1577613167685164,7.3133841068787e-05,32.21692472739739,30.152118552730656,28.77506139156669,28.66447206401375,-1.0,-1.8369701987210297e-16
2011,10,32.85065771278734,28.499052557785603,-457452137.98743325,5.112825204844238,0.111080839194409,-0.1888178366528459,0.0004093463604266,33.461282069755335,32.21692472739739,28.32889039244097,28.77506139156669,-0.8660254037844386,0.5000000000000001
2011,11,33.251426468793795,28.58215080344682,-457452138.055291,5.5723614543757325,0.456486115634123,-0.1756380890777125,0.0001794487766965,32.85065771278734,33.461282069755335,28.499052557785603,28.32889039244097,-0.5000000000000004,0.8660254037844384
2011,12,35.078993888789604,28.24721400882406,-457452138.0167349,6.26216054836817,0.3847461149661124,-0.1847088483090583,5.737846419656064e-05,33.251426468793795,32.85065771278734,28.58215080344682,28.499052557785603,-2.4492935982947064e-16,1.0
2012,1,31.80306194959104,27.88185809267279,-457452138.0275189,5.920863903993702,0.38209367706476693,-0.3904178058783683,0.0052436569033289,35.078993888789604,33.251426468793795,28.24721400882406,28.58215080344682,0.49999999999999994,0.8660254037844387
2012,2,27.87748587617448,27.83617560460343,-457452138.0188113,5.6004806226243184,0.26085757174411905,-0.47094709600305407,0.0168313867241673,31.80306194959104,35.078993888789604,27.88185809267279,28.24721400882406,0.8660254037844386,0.5000000000000001
2012,3,22.566417490539063,27.64487763891264,-457452137.9690759,5.714290259075993,0.8016324644744206,-0.5819644768165766,0.0331957156841571,27.87748587617448,31.80306194959104,27.83617560460343,27.88185809267279,1.0,6.123233995736766e-17
2012,4,21.15925357015451,28.44119567839229,-457452137.9672995,5.339446417957431,0.17142623611188285,-0.4228292313024136,0.0186450664813701,22.566417490539063,27.87748587617448,27.64487763891264,27.83617560460343,0.8660254037844387,-0.4999999999999998
2012,5,26.93318609231053,28.728249978220955,-457452137.9649879,5.55222965040328,0.4234058895113086,-0.306023279348245,0.0076404323239298,21.15925357015451,22.566417490539063,28.44119567839229,27.64487763891264,0.49999999999999994,-0.8660254037844387
2012,6,28.975926723702365,28.61984391157868,-457452138.0526359,5.087365527360099,0.34233981856816864,-0.2526713422769625,0.0025634088459804,26.93318609231053,21.15925357015451,28.728249978220955,28.44119567839229,1.2246467991473532e-16,-1.0
2012,7,31.322495891502395,28.22680923260521,-457452137.9968453,5.569778462543219,0.0347205706058243,-0.28277717372016786,0.0068546272593842,28.975926723702365,26.93318609231053,28.61984391157868,28.728249978220955,-0.4999999999999997,-0.8660254037844388
2012,8,32.404775011408915,28.15200076653537,-457452137.9711282,5.951402229895018,0.6387520746090184,-0.2115688398259983,0.0005335497432911,31.322495891502395,28.975926723702365,28.22680923260521,28.61984391157868,-0.8660254037844385,-0.5000000000000004
2012,9,32.14172592445748,28.17197292799963,-457452137.9856836,5.87374227487978,0.6164434333249255,-0.15351859048097083,4.062991170488166e-05,32.404775011408915,31.322495891502395,28.15200076653537,28.22680923260521,-1.0,-1.8369701987210297e-16
2012,10,35.447984091046514,27.844253409890488,-457452138.0543175,5.974383830598314,1.1187174542861735,-0.1473573452445881,3.166311591334597e-05,32.14172592445748,32.404775011408915,28.17197292799963,28.15200076653537,-0.8660254037844386,0.5000000000000001
2012,11,34.981920853441785,28.46441042146313,-457452138.0302793,5.447567886758014,0.6944980888946307,-0.14297863589765042,0.00049974791397,35.447984091046514,32.14172592445748,27.844253409890488,28.17197292799963,-0.5000000000000004,0.8660254037844384
