Region,Baseline_R2,Best_Model,Best_Model_R2,Delta_R2,Baseline_RMSE,Best_Model_RMSE,RMSE_Reduction_%,Baseline_MAE,Best_Model_MAE,MAE_Reduction_%
low,-0.5502076970696257,RandomForest,0.15475,0.7049576970696256,0.0824369479542871,0.061425,25.48850785443765,0.0641080488662934,0.047125,26.491289575376165
med,-4.036446135064345,RandomForest,0.143425,4.179871135064345,0.3067695857466166,0.133975,56.32715685489769,0.2501142510143361,0.1065,57.41945947978167
high,0.8273102233188133,XGBoost,0.89305,0.0657397766811866,1.7523254127848773,1.452875,17.088744510585897,1.4136869336697984,1.211025,14.33570112611192
