model,R2,RMSE,MAE
RandomForest,0.15475,0.061425,0.047125
XGBoost,0.09062500000000001,0.063625,0.049125
SVR,0.0516,0.06495000000000001,0.05095
ElasticNet,0.046,0.0653,0.0512
Baseline_Linear,-0.5502,0.08245,0.0641
