region,feature,feature_value,partial_dependence
low,low_sst_lag1,23.085630219823393,36.9923323705383
low,low_sst_lag1,23.12365065582924,36.99248276220133
low,low_sst_lag1,23.161671091835093,36.99215121335907
low,low_sst_lag1,23.19969152784094,36.99212065052584
low,low_sst_lag1,23.23771196384679,36.99163399223685
low,low_sst_lag1,23.27573239985264,36.99110575091715
low,low_sst_lag1,23.31375283585849,36.99067824983677
low,low_sst_lag1,23.35177327186434,36.99066563066989
low,low_sst_lag1,23.38979370787019,36.99068695563212
low,low_sst_lag1,23.427814143876038,36.990417921053904
low,low_sst_lag1,23.46583457988189,36.99034861732062
low,low_sst_lag1,23.503855015887737,36.99027506922748
low,low_sst_lag1,23.54187545189359,36.990770036135046
low,low_sst_lag1,23.579895887899436,36.99077938948853
low,low_sst_lag1,23.617916323905288,36.99080416125517
low,low_sst_lag1,23.655936759911135,36.99085534428243
low,low_sst_lag1,23.693957195916987,36.990865357930055
low,low_sst_lag1,23.731977631922835,36.99090452841243
low,low_sst_lag1,23.769998067928686,36.99093282663543
low,low_sst_lag1,23.808018503934534,36.99103283092723
low,low_sst_lag1,23.846038939940385,36.990958975357145
low,low_sst_lag1,23.884059375946233,36.990973083376964
low,low_sst_lag1,23.922079811952084,36.99149187693349
low,low_sst_lag1,23.960100247957932,36.99167646300715
low,low_sst_lag1,23.998120683963784,36.99166891113045
low,low_sst_lag1,24.03614111996963,36.99185661314576
low,low_sst_lag1,24.074161555975483,36.99123371701539
low,low_sst_lag1,24.11218199198133,36.99241510780408
low,low_sst_lag1,24.150202427987182,36.993060306669996
low,low_sst_lag1,24.18822286399303,36.993791314646366
low,low_sst_lag1,24.22624329999888,36.99406352986594
low,low_sst_lag1,24.26426373600473,36.99406352986594
low,low_sst_lag1,24.30228417201058,36.99411710779314
low,low_sst_lag1,24.340304608016428,36.99410987588776
low,low_sst_lag1,24.37832504402228,36.99400223091731
low,low_sst_lag1,24.416345480028127,36.99397866411969
low,low_sst_lag1,24.45436591603398,36.9949745875962
low,low_sst_lag1,24.492386352039826,36.9949442750121
low,low_sst_lag1,24.530406788045678,36.99494921790152
low,low_sst_lag1,24.568427224051526,36.995760048147744
low,low_sst_lag1,24.606447660057377,37.00200081880342
low,low_sst_lag1,24.644468096063225,37.00336706335898
low,low_sst_lag1,24.682488532069076,37.00416218433196
low,low_sst_lag1,24.720508968074924,37.00483091857309
low,low_sst_lag1,24.758529404080775,37.00462309379026
low,low_sst_lag1,24.796549840086623,37.00450589564399
low,low_sst_lag1,24.834570276092474,37.004739003800225
low,low_sst_lag1,24.872590712098322,37.004786799422824
low,low_sst_lag1,24.910611148104174,37.00476131157832
low,low_sst_lag1,24.94863158411002,37.00774414739475
low,low_sst_lag1,24.986652020115873,37.00775867538513
low,low_sst_lag1,25.02467245612172,37.00775867538513
low,low_sst_lag1,25.062692892127572,37.007782293169704
low,low_sst_lag1,25.10071332813342,37.00796216636114
low,low_sst_lag1,25.13873376413927,37.007978855862476
low,low_sst_lag1,25.17675420014512,37.008040746750616
low,low_sst_lag1,25.21477463615097,37.008047265097936
low,low_sst_lag1,25.252795072156818,37.00804726509793
low,low_sst_lag1,25.29081550816267,37.009701922379826
low,low_sst_lag1,25.328835944168517,37.01040293879419
low,low_sst_lag1,25.36685638017437,37.01040152431179
low,low_sst_lag1,25.404876816180217,37.011413894207756
low,low_sst_lag1,25.442897252186068,37.01146896054403
low,low_sst_lag1,25.480917688191916,37.0114923051779
low,low_sst_lag1,25.518938124197767,37.011603571710246
low,low_sst_lag1,25.556958560203615,37.01150005807304
low,low_sst_lag1,25.594978996209466,37.01174595821763
low,low_sst_lag1,25.632999432215314,37.01194871732167
low,low_sst_lag1,25.671019868221165,37.01232375796258
low,low_sst_lag1,25.709040304227013,37.012306764957785
low,low_sst_lag1,25.747060740232865,37.01202056195584
low,low_sst_lag1,25.785081176238712,37.01178507247347
low,low_sst_lag1,25.823101612244564,37.01172525072612
low,low_sst_lag1,25.86112204825041,37.01166798332067
low,low_sst_lag1,25.899142484256263,37.0116857649853
low,low_sst_lag1,25.93716292026211,37.01199316180171
low,low_sst_lag1,25.975183356267962,37.012020223188536
low,low_sst_lag1,26.01320379227381,37.01243000011404
low,low_sst_lag1,26.051224228279658,37.01247225485363
low,low_sst_lag1,26.08924466428551,37.01260211245695
low,low_sst_lag1,26.12726510029136,37.012593854328145
low,low_sst_lag1,26.16528553629721,37.01273173496848
low,low_sst_lag1,26.203305972303056,37.01271101889166
low,low_sst_lag1,26.241326408308908,37.012783032670136
low,low_sst_lag1,26.27934684431476,37.01279434622766
low,low_sst_lag1,26.317367280320607,37.012960455418245
low,low_sst_lag1,26.355387716326454,37.01297468108185
low,low_sst_lag1,26.393408152332306,37.01316403675947
low,low_sst_lag1,26.431428588338157,37.01316403675946
low,low_sst_lag1,26.469449024344005,37.01324449561795
low,low_sst_lag1,26.507469460349853,37.0134533115554
low,low_sst_lag1,26.545489896355704,37.013514760483694
low,low_sst_lag1,26.583510332361556,37.013529254266345
low,low_sst_lag1,26.621530768367403,37.01353640081034
low,low_sst_lag1,26.65955120437325,37.01353640081034
low,low_sst_lag1,26.697571640379103,37.013494272039864
low,low_sst_lag1,26.735592076384954,37.013482899168544
low,low_sst_lag1,26.7736125123908,37.01349341904756
low,low_sst_lag1,26.81163294839665,37.01349341904756
low,low_sst_lag1,26.8496533844025,37.01343166153559
