model,R2,RMSE,MAE
SVR,0.8905166666666666,1.49425,1.1664
ElasticNet,0.8837166666666666,1.543383333333333,1.2422666666666666
XGBoost,0.8806833333333333,1.5387166666666667,1.27105
RandomForest,0.8720166666666667,1.5811666666666666,1.2839666666666667
Baseline_Linear,0.8294,1.7806,1.4106666666666667
