model,R2,RMSE,MAE
Baseline_Linear,0.9394,1.2123,1.0241
XGBoost,0.9272,1.17665,0.9917499999999999
RandomForest,0.9149,1.2447,1.0162499999999999
SVR,0.8609,1.8408,1.4382
