y_true,y_pred,residual
21.142079537299765,21.906855,-0.764775092216837
22.555104288306744,23.546015,-0.9909104974598577
22.881476615894943,25.282934,-2.4014575729478302
28.163467328397623,29.08618,-0.9227124048787445
29.13538401578204,30.022585,-0.8872008993790921
31.44167819000288,31.291655,0.1500236032108866
30.6934185608294,32.434597,-1.7411784545514593
32.280010294133874,33.191204,-0.9111937769110483
30.80292301917424,32.212906,-1.4099828646148218
30.707925073617755,31.115713,-0.407788045889081
25.44291607597301,26.690506,-1.247589905472303
26.030542721660165,27.61201,-1.581466326801749
23.09701582613725,25.160978,-2.063962491123494
20.9720332506557,22.513742,-1.5417091962437155
22.47316514565163,23.31671,-0.8435443727809862
27.74467610646198,29.2554,-1.5107235975175115
31.017395386704028,30.39909,0.6183055734716056
32.46387924029975,32.490166,-0.026286470149472052
32.947278316605185,32.753124,0.1941540795446386
33.092811584073694,32.71487,0.37794113119283423
31.72811548148331,31.480875,0.24724046622452178
31.62839429709908,31.207706,0.42068784568306583
30.29718071446453,29.187231,1.1099496506217577
