model,R2,RMSE,MAE
RandomForest,-0.060633333333333324,0.14551666666666666,0.11543333333333333
ElasticNet,-0.20045000000000002,0.15818333333333334,0.12853333333333333
SVR,-0.22724999999999998,0.1588166666666667,0.12728333333333333
XGBoost,-0.31798333333333334,0.16096666666666667,0.1314833333333333
Baseline_Linear,-2.3115666666666668,0.2534166666666667,0.19823333333333334
