y_true,y_pred,residual
33.7162417349789,33.825110901865884,-0.10886916688698278
33.475213698384735,33.838022900169854,-0.3628092017851188
33.71595189945428,33.805368619268314,-0.08941671981403232
33.61961895369339,33.85955542222636,-0.23993646853296724
33.63642648460154,33.94933117817271,-0.3129046935711699
34.05802563375285,34.014359981503,0.04366565224984953
33.95315217290851,33.95988178607447,-0.006729613165958881
33.7254672122609,33.90419593771076,-0.17872872544985796
33.70657646906183,33.87329120326782,-0.16671473420598915
33.84051777982833,33.84938783443474,-0.008870054606404665
33.6855905366729,33.85822295897713,-0.1726324223042326
33.5677936783356,33.85915536089418,-0.2913616825585805
33.454131670006205,33.81128641974189,-0.3571547497356846
33.5319188307618,33.815118325718736,-0.2831994949569321
33.62470928248481,33.8327900607355,-0.2080807782506895
33.799148908103426,33.81195828364335,-0.012809375539923451
33.62731504872123,33.88758743526774,-0.26027238654651086
33.94604695406977,33.93232154268465,0.013725411385124175
33.901026994892085,33.902689961614556,-0.0016629667224705713
33.93474334250133,33.90084573526689,0.03389760723443658
33.90428181368359,33.918768111203555,-0.014486297519965774
33.98321797811283,33.86937952974437,0.1138384483684618
34.014687752718686,33.89758636794376,0.11710138477492649
