model,R2,RMSE,MAE
RandomForest,0.143425,0.133975,0.1065
XGBoost,0.04315000000000001,0.1417,0.11685000000000001
ElasticNet,-0.07995000000000001,0.151625,0.123975
SVR,-0.13495000000000001,0.1537,0.12179999999999999
Baseline_Linear,-4.036475,0.306775,0.2501
